horizon_days,cohort,variant,ic,n
63,2015,original,0.3248,72
63,2016,original,0.2216,72
63,2017,original,0.0152,72
63,2018,original,0.3334,73
63,2019,original,0.0881,73
63,2020,original,-0.0201,73
63,2021,original,-0.0575,73
63,2022,original,0.2962,73
63,2023,original,-0.0703,73
63,2024,original,0.1327,73
63,2025,original,-0.1047,73
63,2015,anonymized,0.2219,72
63,2016,anonymized,0.176,72
63,2017,anonymized,0.0354,72
63,2018,anonymized,0.3546,73
63,2019,anonymized,0.1141,73
63,2020,anonymized,-0.0548,73
63,2021,anonymized,-0.0473,73
63,2022,anonymized,0.278,73
63,2023,anonymized,-0.0778,73
63,2024,anonymized,0.0941,73
63,2025,anonymized,-0.0933,73
126,2015,original,0.3011,72
126,2016,original,0.199,72
126,2017,original,0.0512,72
126,2018,original,0.2906,73
126,2019,original,0.0495,73
126,2020,original,-0.0782,73
126,2021,original,0.0016,73
126,2022,original,0.3008,73
126,2023,original,0.1143,73
126,2024,original,0.2457,73
126,2025,original,-0.1025,73
126,2015,anonymized,0.2585,72
126,2016,anonymized,0.1702,72
126,2017,anonymized,0.0531,72
126,2018,anonymized,0.2982,73
126,2019,anonymized,0.0714,73
126,2020,anonymized,-0.0744,73
126,2021,anonymized,-0.0186,73
126,2022,anonymized,0.3021,73
126,2023,anonymized,0.1519,73
126,2024,anonymized,0.195,73
126,2025,anonymized,-0.1297,73
252,2015,original,0.2541,72
252,2016,original,0.0586,72
252,2017,original,-0.1276,72
252,2018,original,0.2915,73
252,2019,original,0.1305,73
252,2020,original,-0.0482,73
252,2021,original,0.0858,73
252,2022,original,0.3331,73
252,2023,original,-0.054,73
252,2024,original,0.2038,73
252,2025,original,0.0938,73
252,2015,anonymized,0.2307,72
252,2016,anonymized,0.0242,72
252,2017,anonymized,-0.1125,72
252,2018,anonymized,0.2856,73
252,2019,anonymized,0.1513,73
252,2020,anonymized,-0.0491,73
252,2021,anonymized,0.1009,73
252,2022,anonymized,0.2685,73
252,2023,anonymized,-0.0497,73
252,2024,anonymized,0.1698,73
252,2025,anonymized,0.0546,73
