horizon_days,cohort,cut,ic,n
63,2002,all_cheap,-0.098,26
63,2003,all_cheap,0.27,38
63,2004,all_cheap,0.2641,50
63,2005,all_cheap,-0.1615,34
63,2006,all_cheap,-0.2841,38
63,2007,all_cheap,-0.2083,50
63,2008,all_cheap,-0.0302,44
63,2009,all_cheap,0.0011,62
63,2010,all_cheap,0.1341,54
63,2011,all_cheap,0.2248,76
63,2012,all_cheap,-0.0691,74
63,2013,all_cheap,0.2231,72
63,2014,all_cheap,0.3827,78
63,2015,all_cheap,0.1412,74
63,2016,all_cheap,-0.04,70
63,2017,all_cheap,-0.1821,74
63,2018,all_cheap,0.0164,84
63,2019,all_cheap,0.0134,86
63,2020,all_cheap,-0.1474,84
63,2021,all_cheap,0.1824,60
63,2022,all_cheap,0.0054,54
63,2023,all_cheap,-0.0713,80
63,2024,all_cheap,0.189,76
63,2025,all_cheap,-0.0719,68
63,2002,event_clean,-0.1659,24
63,2003,event_clean,0.27,38
63,2004,event_clean,0.256,46
63,2005,event_clean,0.3748,22
63,2006,event_clean,-0.5056,26
63,2007,event_clean,-0.0137,40
63,2008,event_clean,0.2878,22
63,2009,event_clean,-0.2007,34
63,2010,event_clean,0.5005,26
63,2011,event_clean,0.001,46
63,2012,event_clean,0.209,30
63,2013,event_clean,0.188,38
63,2014,event_clean,0.406,58
63,2015,event_clean,-0.0171,56
63,2016,event_clean,-0.0508,36
63,2017,event_clean,-0.0669,42
63,2018,event_clean,-0.0918,62
63,2019,event_clean,0.1283,50
63,2020,event_clean,-0.207,48
63,2021,event_clean,0.2575,46
63,2022,event_clean,-0.0647,34
63,2023,event_clean,0.4795,20
63,2024,event_clean,0.3807,30
63,2025,event_clean,0.3579,22
126,2002,all_cheap,-0.0849,26
126,2003,all_cheap,0.2151,38
126,2004,all_cheap,0.2873,50
126,2005,all_cheap,0.1692,34
126,2006,all_cheap,0.0652,38
126,2007,all_cheap,0.3878,50
126,2008,all_cheap,-0.1657,44
126,2009,all_cheap,0.0566,62
126,2010,all_cheap,0.0612,54
126,2011,all_cheap,0.1857,76
126,2012,all_cheap,0.231,74
126,2013,all_cheap,0.1021,72
126,2014,all_cheap,0.6452,78
126,2015,all_cheap,0.5384,74
126,2016,all_cheap,0.0071,70
126,2017,all_cheap,-0.1158,74
126,2018,all_cheap,0.0357,84
126,2019,all_cheap,-0.2445,86
126,2020,all_cheap,-0.1222,84
126,2021,all_cheap,0.258,60
126,2022,all_cheap,0.0456,54
126,2023,all_cheap,-0.0548,80
126,2024,all_cheap,0.0239,76
126,2025,all_cheap,-0.2361,68
126,2002,event_clean,-0.1493,24
126,2003,event_clean,0.2151,38
126,2004,event_clean,0.4144,46
126,2005,event_clean,0.2472,22
126,2006,event_clean,-0.0514,26
126,2007,event_clean,0.3335,40
126,2008,event_clean,-0.0835,22
126,2009,event_clean,-0.2211,34
126,2010,event_clean,0.1751,26
126,2011,event_clean,-0.2509,46
126,2012,event_clean,0.3854,30
126,2013,event_clean,0.0241,38
126,2014,event_clean,0.6429,58
126,2015,event_clean,0.5759,56
126,2016,event_clean,-0.0215,36
126,2017,event_clean,-0.0677,42
126,2018,event_clean,0.029,62
126,2019,event_clean,0.049,50
126,2020,event_clean,-0.0884,48
126,2021,event_clean,0.3994,46
126,2022,event_clean,-0.0796,34
126,2023,event_clean,0.5554,20
126,2024,event_clean,0.3184,30
126,2025,event_clean,0.0265,22
252,2002,all_cheap,-0.303,26
252,2003,all_cheap,-0.0207,38
252,2004,all_cheap,0.0735,50
252,2005,all_cheap,0.1841,34
252,2006,all_cheap,0.0761,38
252,2007,all_cheap,0.4382,50
252,2008,all_cheap,-0.0964,44
252,2009,all_cheap,0.3118,62
252,2010,all_cheap,0.3122,54
252,2011,all_cheap,0.0435,76
252,2012,all_cheap,0.2391,74
252,2013,all_cheap,0.3556,72
252,2014,all_cheap,0.6418,78
252,2015,all_cheap,0.5436,74
252,2016,all_cheap,-0.0565,70
252,2017,all_cheap,-0.0948,74
252,2018,all_cheap,-0.1114,84
252,2019,all_cheap,-0.1495,86
252,2020,all_cheap,-0.2652,84
252,2021,all_cheap,0.1841,60
252,2022,all_cheap,0.3131,54
252,2023,all_cheap,-0.0639,80
252,2024,all_cheap,-0.1449,76
252,2025,all_cheap,-0.1446,68
252,2002,event_clean,-0.3766,24
252,2003,event_clean,-0.0207,38
252,2004,event_clean,0.0145,46
252,2005,event_clean,0.2643,22
252,2006,event_clean,-0.1107,26
252,2007,event_clean,0.3228,40
252,2008,event_clean,-0.2158,22
252,2009,event_clean,0.4127,34
252,2010,event_clean,0.2716,26
252,2011,event_clean,-0.2007,46
252,2012,event_clean,0.365,30
252,2013,event_clean,0.0462,38
252,2014,event_clean,0.645,58
252,2015,event_clean,0.5587,56
252,2016,event_clean,0.0422,36
252,2017,event_clean,-0.3882,42
252,2018,event_clean,-0.099,62
252,2019,event_clean,0.0067,50
252,2020,event_clean,-0.1026,48
252,2021,event_clean,0.2292,46
252,2022,event_clean,0.1331,34
252,2023,event_clean,0.2671,20
252,2024,event_clean,0.3464,30
252,2025,event_clean,-0.2072,22
